title,url,title_length,word_count
Close Ad,#,8,2
English,https://www.moneycontrol.com/,7,1
Hindi,https://hindi.moneycontrol.com,5,1
Gujarati,https://gujarati.moneycontrol.com/,8,1
Loans up to ₹50 Lakhs,https://www.moneycontrolpay.com/,21,5
HDFC Bank,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/hdfcbank/HDF01,9,2
Vodafone Idea,https://www.moneycontrol.com/india/stockpricequote/telecommunication-service-provider/vodafoneidea/IC8,13,2
Infosys,https://www.moneycontrol.com/india/stockpricequote/computers-software/infosys/IT,7,1
Suzlon Energy,https://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/suzlonenergy/SE17,13,2
Ola Electric,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries-brakes/olaelectricmobility/OEM,12,2
My Alerts,https://www.moneycontrol.com/my-alerts,9,2
My Profile,https://www.moneycontrol.com/portfolio-management/user/update_profile,10,2
My PRO,https://www.moneycontrol.com/promos/pro.php,6,2
My Portfolio,https://www.moneycontrol.com/india/bestportfoliomanager/investment-tool,12,2
My Watchlist,https://www.moneycontrol.com/watchlist,12,2
My Messages,https://mmb.moneycontrol.com/,11,2
Price Alerts,https://www.moneycontrol.com/alerts/manage-alerts.php,12,2
Logout,https://www.moneycontrol.com/mcplus/portfolio/logout.php?ref=https://www.moneycontrol.com/mcplus/portfolio/loginportfolio.php,6,1
Fixed Deposits,https://www.moneycontrol.com/fixed-deposit,14,2
Credit Cards,https://www.moneycontrol.com/credit-cards,12,2
Credit Score,https://www.moneycontrol.com/credit-score,12,2
Loan against Mutual Funds,https://www.moneycontrolpay.com/loan-against-mutual-funds/,25,4
Android,https://play.google.com/store/apps/details?id=com.divum.MoneyControl&hl=en_IN,7,1
IOS,https://apps.apple.com/in/app/moneycontrol-markets-news/id408654600,3,1
Facebook,https://www.facebook.com/moneycontrol,8,1
Twitter,https://twitter.com/moneycontrolcom,7,1
Instagram,https://www.instagram.com/moneycontrolcom/,9,1
LinkedIn,https://www.linkedin.com/company/moneycontrol,8,1
Network 18,https://www.nw18.com/home,10,2
Moneycontrol PRO,https://www.moneycontrol.com/pro-top-stories,16,2
Markets,https://www.moneycontrol.com/stocksmarketsindia/,7,1
Indian Indices,https://www.moneycontrol.com/markets/indian-indices/,14,2
All Stats,https://www.moneycontrol.com/stocks/marketstats/index.php,9,2
Top Gainers,https://www.moneycontrol.com/stocks/market-stats/top-gainers-nse/,11,2
Top Losers,https://www.moneycontrol.com/stocks/market-stats/top-losers-nse/,10,2
Only Buyers,https://www.moneycontrol.com/stocks/market-stats/only-buyers-nse/,11,2
Only Sellers,https://www.moneycontrol.com/stocks/market-stats/only-sellers-nse/,12,2
52 Week High,https://www.moneycontrol.com/stocks/market-stats/52-week-high-nse/,12,3
52 Week Low,https://www.moneycontrol.com/stocks/market-stats/52-week-low-nse/,11,3
Price Shockers,https://www.moneycontrol.com/stocks/market-stats/price-shockers-nse/,14,2
Volume Shockers,https://www.moneycontrol.com/stocks/market-stats/volume-shockers-nse/,15,2
Most Active Stocks,https://www.moneycontrol.com/stocks/market-stats/most-active-stocks-nse/,18,3
Stock Updates,https://www.moneycontrol.com/markets/stockupdates/,13,2
Global Markets,https://www.moneycontrol.com/markets/global-indices/,14,2
Technical Trends,https://www.moneycontrol.com/markets/technical-trends/,16,2
Open Interest Trends,https://www.moneycontrol.com/markets/open-interest-trends/options,20,3
Trending Stocks,https://www.moneycontrol.com/stocks/market-stats/most-visited-trending-stocks/,15,2
Unlisted Shares,https://www.moneycontrol.com/markets/unlisted-shares/top-companies/,15,2
Economic Calendar,https://www.moneycontrol.com/economic-calendar,17,2
Economic Indicators,https://www.moneycontrol.com/economic-indicators/,19,2
Fundamental Scanner,https://www.moneycontrol.com/stock-scanner/fundamental/,19,2
Technical Scanner,https://www.moneycontrol.com/stock-scanner/technical/,17,2
Earnings,https://www.moneycontrol.com/markets/earnings/,8,1
Sector Analysis,https://www.moneycontrol.com/markets/sector-analysis,15,2
IPO,https://www.moneycontrol.com/ipo/,3,1
US Markets,https://www.moneycontrol.com/us-markets,10,2
Pre Market,https://www.moneycontrol.com/markets/premarket/,10,2
F&O,https://www.moneycontrol.com/markets/fno-market-snapshot,3,1
FII & DII Activity,https://www.moneycontrol.com/markets/fii-dii-data/,18,4
Corporate Action,https://www.moneycontrol.com/markets/corporate-action/,16,2
PRO Stock Lists,https://www.moneycontrol.com/pro-stock-lists/,15,3
Seasonality Analysis,https://www.moneycontrol.com/markets/seasonality-analysis/,20,2
ETFs,https://www.moneycontrol.com/etfs-exchange-traded-funds/,4,1
Big Shark Portfolios,https://www.moneycontrol.com/india-investors-portfolio/,20,3
Stock Ideas,https://www.moneycontrol.com/markets/stock-ideas/,11,2
Bonds,https://www.moneycontrol.com/bonds/,5,1
Deals,https://www.moneycontrol.com/markets/stock-deals/,5,1
Bulk Deals,https://www.moneycontrol.com/markets/stock-deals/bulk-deals/,10,2
Block Deals,https://www.moneycontrol.com/markets/stock-deals/block-deals/,11,2
Intraday Large Deals,https://www.moneycontrol.com/markets/stock-deals/large-deals/,20,3
Commodity,https://www.moneycontrol.com/commodity/,9,1
Currency,https://www.moneycontrol.com/markets/currencies/,8,1
Cryptocurrency,https://www.moneycontrol.com/crypto-market/market-movers/top-cryptos/inr,14,1
News,https://www.moneycontrol.com/news/,4,1
Elections 2026,https://www.moneycontrol.com/elections/assembly-election/,14,2
Business,https://www.moneycontrol.com/news/business/,8,1
Economy,https://www.moneycontrol.com/news/business/economy/,7,1
Companies,https://www.moneycontrol.com/news/business/companies/,9,1
Mutual Funds,https://www.moneycontrol.com/news/business/mutual-funds/,12,2
Personal Finance,https://www.moneycontrol.com/news/business/personal-finance/,16,2
IPO,https://www.moneycontrol.com/news/business/ipo/,3,1
Startup,https://www.moneycontrol.com/news/business/startup/,7,1
Real Estate,https://www.moneycontrol.com/news/business/real-estate/,11,2
Bank Holidays 2026,https://www.moneycontrol.com/banking/bank-holidays/,18,3
Banking,https://www.moneycontrol.com/banking/,7,1
India,https://www.moneycontrol.com/news/india/,5,1
City,https://www.moneycontrol.com/city/,4,1
World,https://www.moneycontrol.com/world/,5,1
Politics,https://www.moneycontrol.com/news/politics/,8,1
Defence,https://www.moneycontrol.com/defence/,7,1
Markets,https://www.moneycontrol.com/news/business/markets/,7,1
Stocks,https://www.moneycontrol.com/news/business/stocks/,6,1
Technical Analysis,https://www.moneycontrol.com/news/tags/technical-analysis.html,18,2
Equity Research,https://www.moneycontrol.com/equity-research/,15,2
Commodities,https://www.moneycontrol.com/news/business/commodities/,11,1
Gold Rate,https://www.moneycontrol.com/news/gold-rates-today/,9,2
Silver Rate,https://www.moneycontrol.com/news/silver-rates-today/,11,2
AQI,https://www.moneycontrol.com/aqi/,3,1
Earnings,https://www.moneycontrol.com/news/business/earnings/,8,1
Trends,https://www.moneycontrol.com/news/trends/,6,1
Opinion,https://www.moneycontrol.com/news/opinion/,7,1
Explainers,https://www.moneycontrol.com/explainers/,10,1
MC Buzz,https://www.moneycontrol.com/mc-buzz/,7,2
MC Features,https://www.moneycontrol.com/features/,11,2
Personal Tech,https://www.moneycontrol.com/technology/,13,2
Auto,https://www.moneycontrol.com/automobile/,4,1
Fintech,https://www.moneycontrol.com/news/fintech/,7,1
Podcast,https://www.moneycontrol.com/podcast/,7,1
Photos,https://www.moneycontrol.com/news/photos/,6,1
Videos,https://www.moneycontrol.com/news/videos/,6,1
Web Stories,https://www.moneycontrol.com/web-stories/,11,2
Crypto Dashboard,https://www.moneycontrol.com/cryptocurrency/,16,2
IFSC Code Finder,https://www.moneycontrol.com/banking/ifsc/,16,3
Petrol Price in India,https://www.moneycontrol.com/fuel-price/petrol-price-in-india/,21,4
Diesel Price in India,https://www.moneycontrol.com/fuel-price/diesel-price-in-india/,21,4
Eco Pulse,https://www.moneycontrol.com/mc-business-index/,9,2
MC Learn,https://www.moneycontrol.com/mc-learn,8,2
Entertainment,https://www.moneycontrol.com/entertainment/,13,1
Sports,https://www.moneycontrol.com/sports/,6,1
Lifestyle,https://www.moneycontrol.com/lifestyle/,9,1
Health and Fitness,https://www.moneycontrol.com/health-and-fitness/,18,3
Education,https://www.moneycontrol.com/education/,9,1
Jobs,https://www.moneycontrol.com/jobs/,4,1
Science,https://www.moneycontrol.com/science/,7,1
Astro,https://www.moneycontrol.com/astrology/,5,1
Religion,https://www.moneycontrol.com/religion/,8,1
Travel,https://www.moneycontrol.com/news/trends/travel/,6,1
Editorâs Picks,https://www.moneycontrol.com/editors-picks/,16,2
Tech,https://www.moneycontrol.com/news/technology-startups,4,1
Learning Curve,https://www.moneycontrol.com/courses/,14,2
Mutual Funds,https://www.moneycontrol.com/mutual-funds/,12,2
Find Fund,https://www.moneycontrol.com/mutual-funds/find-fund/,9,2
Top Ranked Funds,https://www.moneycontrol.com/mutual-funds/find-fund/top-rated-schemes/,16,3
Performance Tracker,https://www.moneycontrol.com/mutual-funds/performance-tracker/returns/large-cap-fund.html?invCatgryId=925732860,19,2
Gold Loan,https://www.moneycontrolpay.com/gold-loan/,9,2
NFO,https://www.moneycontrol.com/mutual-funds/new-fund-offers,3,1
Learn,https://www.moneycontrol.com/mutualfundindia/learn/,5,1
Returns Calculator,https://www.moneycontrol.com/mutual-funds/sip-planner,18,2
Lumpsum SIP Balancer,https://www.moneycontrol.com/mutual-funds/tools/lumpsum-sip-balancer,20,3
Delay Cost Calculator,https://www.moneycontrol.com/mutual-funds/tools/delay-cost-calculator,21,3
MF Forum,https://www.moneycontrol.com/mutualfundindia/mutual-fund-discussion-forum/,8,2
Your MF Investment,https://www.moneycontrol.com/personal-finance/portfolio-management/PORTFOLIO/returns,18,3
MF Prices,https://www.moneycontrol.com/personal-finance/portfolio-management/WATCHLIST/returns,9,2
Personal Finance,https://www.moneycontrol.com/personal-finance/,16,2
Investing,https://www.moneycontrol.com/personal-finance/investing/,9,1
Insurance,https://www.moneycontrol.com/personal-finance/insurance/,9,1
Banking,https://www.moneycontrol.com/personal-finance/banking/,7,1
Financial Planning,https://www.moneycontrol.com/personal-finance/financialplanning/,18,2
Property,https://www.moneycontrol.com/real-estate-property/,8,1
Tools,https://www.moneycontrol.com/personal-finance/tools/,5,1
Video,https://www.moneycontrol.com/personal-finance/videos/,5,1
Ask Expert,https://www.moneycontrol.com/forum-topics/ask-the-expert/,10,2
Explainer,https://www.moneycontrol.com/personal-finance/explainer/,9,1
National Pension Scheme,https://www.moneycontrol.com/personal-finance/nps-national-pension-scheme,23,3
Fixed Deposit Comparison,https://www.moneycontrol.com/fixed-deposit/fd-interest-rates/,24,3
Fixed Deposit Interest Calculator,https://www.moneycontrol.com/fixed-income/calculator/fixed-deposit-calculator.html,33,4
Corporate Deposits,https://www.moneycontrol.com/news/tags/company-fixed-deposits.html,18,2
Income tax Filing Guide,https://www.moneycontrol.com/news/business/personal-finance/income-tax-filing/,23,4
Income Tax Calculator,https://www.moneycontrol.com/personal-finance/tools/income-tax-calculator,21,3
LTCG Tax on Property,https://www.moneycontrol.com/personal-finance/tools/capital-gain-tax-calculator.html,20,4
Loans,https://www.moneycontrol.com/loans/,5,1
Personal Loan,https://www.moneycontrol.com/loans/personal-loan/,13,2
Instant Loan,https://www.moneycontrol.com/loans/instant-loan/,12,2
EMI Calculator,https://www.moneycontrol.com/personal-finance/loans/personal-loan/calculator,14,2
Personal Loan Articles,https://www.moneycontrol.com/news/tags/personal-loan.html,22,3
Provident Fund Calculator,https://www.moneycontrol.com/personal-finance/tools/provident-fund-calculator.html,25,3
Assets Allocation Planning,https://www.moneycontrol.com/personal-finance/tools/asset-allocation-calculator.html,26,3
Debt Reduction Planner,https://www.moneycontrol.com/personal-finance/tools/debt-reduction-plan-calculator.html,22,3
Debt Evaluation Calculator,https://www.moneycontrol.com/personal-finance/tools/debt-evaluation-calculator.html,26,3
Current Expense Calculator,https://www.moneycontrol.com/personal-finance/tools/current-expenses-calculator.html,26,3
Finance Tracker,https://www.moneycontrol.com/account-aggregator,15,2
Real Estate : Trends & Analytics,https://www.moneycontrol.com/property-rates/mumbai,32,6
Gold Price Today,https://www.moneycontrol.com/news/gold-rates-today/?utm_source=mcpf&utm_medium=desktop&utm_campaign=L1PF,16,3
Upcoming Chat,https://www.moneycontrol.com/news/mgmtinterviews/chats/detail_new.php?type=upcoming,13,2
Previous Transcripts,https://www.moneycontrol.com/news/mgmtinterviews/chats/archives_new.php,20,2
All Schedule,https://www.moneycontrol.com/news/mgmtinterviews/chats/detail_new.php,12,2
Membership Rules,https://mmb.moneycontrol.com/membership-rules/,16,2
Forum Topics,https://mmb.moneycontrol.com/forum-topics/,12,2
Ask the Expert,https://mmb.moneycontrol.com/forum-topics/ask-the-expert/,14,3
Top Boarders,https://mmb.moneycontrol.com/top-boarders/,12,2
User Profile,javascript:;,12,2
Latest Threads,https://mmb.moneycontrol.com/forum-topics/latest-threads.html,14,2
Stocks,https://mmb.moneycontrol.com/forum-topics/stocks-1.html,6,1
Index,https://mmb.moneycontrol.com/forum-topics/market-view/index-246280.html,5,1
Gold,https://mmb.moneycontrol.com/forum-topics/commodity/gold-509313.html,4,1
Personal Finance,https://mmb.moneycontrol.com/forum-topics/personal-finance-5.html,16,2
Just Posted,https://mmb.moneycontrol.com/forum-topics/market-view/just-posted-509249.html,11,2
Latest Polls,https://mmb.moneycontrol.com/poll/,12,2
Historical Polls,https://mmb.moneycontrol.com/poll/historical-polls/,16,2
Market Sentiments,https://mmb.moneycontrol.com/poll/market-sentiments/,17,2
FAQs,https://mmb.moneycontrol.com/faq/,4,1
Code of Conduct,https://mmb.moneycontrol.com/code-of-conduct/,15,3
Feedback,https://mmb.moneycontrol.com/forum-topics/feedback/about-mmb-160978.html,8,1
Write to us,mailto:forum@moneycontrol.com,11,3
